ANIO,MES,REG,NM_RECURSO,PRECIO_PONDERADO,Q_MUESTRA_PLANTAS,Q_MERCADO_TOTAL,N_PLANTAS
2017,4,8,SARDINA COMUN,115341.17703431162,11687,27038.325999999983,4
2017,5,8,SARDINA COMUN,110619.45370055536,8823,19169.43500000003,4
2017,6,8,SARDINA COMUN,105749.42285714284,1400,8639.339000000002,3
2017,7,8,SARDINA COMUN,97534.69526074402,5887,10521.101999999997,5
2017,10,8,SARDINA COMUN,106444.96859401,9616,14886.659,5
2017,11,8,SARDINA COMUN,133948.4129545097,12706,21539.331000000027,5
2017,12,8,SARDINA COMUN,101519.72331098503,3878,6915.819000000007,5
2018,2,8,SARDINA COMUN,174455.20454043007,2076.191,6600.905,2
2018,3,8,SARDINA COMUN,120035.14079139312,76730.841,119782.16800000006,6
2018,4,8,SARDINA COMUN,126403.12472957988,51220.304,69435.20100000002,6
2018,5,8,SARDINA COMUN,110376.62295306468,15940.599000000002,25932.76699999997,5
2018,6,8,SARDINA COMUN,132146.44820132843,10406.319,19177.497000000003,4
2018,7,8,SARDINA COMUN,102807,69.04,69.04,1
2018,10,8,SARDINA COMUN,112693.17143721312,3408.7290000000003,5646.3910000000005,4
2018,11,8,SARDINA COMUN,120079.85500013742,18301.107,37334.68900000007,5
2018,12,8,SARDINA COMUN,133103.00899812047,2583.0950000000003,5848.146000000002,5
2019,3,8,SARDINA COMUN,121116.32248940528,33608.66999999999,95392.3840000003,4
2019,4,8,SARDINA COMUN,122120.1156675519,21941.59,53436.897999999965,4
2019,5,8,SARDINA COMUN,117882.74286899084,8440.25,27114.316000000017,4
2019,6,8,SARDINA COMUN,117276.9254772486,1986.91,11263.937000000009,4
2019,7,8,SARDINA COMUN,112104.6887907378,1913.15,7346.317999999996,3
2019,11,8,SARDINA COMUN,130243.39703571922,9712.98,39495.29000000002,3
2019,12,8,SARDINA COMUN,134193.26829572694,6249.82,21547.41599999999,5
2020,3,8,SARDINA COMUN,141541.96946013876,9343.068,26291.045000000042,4
2020,4,8,SARDINA COMUN,151938.5267921938,38920.833,94356.80599999991,4
2020,5,8,SARDINA COMUN,161253.7613619862,13572.913,31957.376999999993,4
2020,6,8,SARDINA COMUN,153473.86592567948,2052.757,6025.449999999997,3
2020,7,8,SARDINA COMUN,170707.4114135837,834.97,2904.852,2
2020,11,8,SARDINA COMUN,158105.35953720604,4921.499,20880.215000000004,3
2020,12,8,SARDINA COMUN,169271.10800736642,4068.204,18364.102999999996,3
2021,3,8,SARDINA COMUN,144425.82069892983,44265.95999999999,165217.76999999993,3
2021,4,8,SARDINA COMUN,147596.76470616524,17259.547000000002,79752.23500000019,3
2021,5,8,SARDINA COMUN,151221.00129293575,2971.5319999999992,16722.233000000007,3
2021,6,8,SARDINA COMUN,176852.7157586326,394.552,3721.140000000002,2
2021,7,8,SARDINA COMUN,144209,336.662,1580.4450000000002,1
2021,11,8,SARDINA COMUN,147465.73034421893,983.502,3034.583999999999,2
2022,3,8,SARDINA COMUN,182376,19420.5,94486.032,1
2022,4,8,SARDINA COMUN,185527,4983.149,27139.34699999997,1
2022,5,8,SARDINA COMUN,197958,1262.83,5738.693000000002,1
2022,6,8,SARDINA COMUN,186367,562.275,2074.7350000000015,1
2022,7,8,SARDINA COMUN,231917,163.366,878.0000000000001,1
2022,10,8,SARDINA COMUN,206435,1288.961,5393.874999999999,1
2022,11,8,SARDINA COMUN,186638.436469386,3188.148,10296.299999999988,2
2022,12,8,SARDINA COMUN,140000,121.379,159.709,1
2023,3,8,SARDINA COMUN,177881.75766877903,51485.673,194610.7549999997,2
2023,4,8,SARDINA COMUN,186545.1564040832,24271.585,96459.13099999996,2
2023,5,8,SARDINA COMUN,193971.28200244685,8526.848,38585.39899999999,2
2023,6,8,SARDINA COMUN,207218.0427487404,2324.934,7921.475999999999,2
2023,7,8,SARDINA COMUN,231000,367.149,1809.8730000000003,1
2023,10,8,SARDINA COMUN,271000,207.792,322.25899999999996,1
2023,11,8,SARDINA COMUN,246000,3306.15,16592.235000000022,1
2023,12,8,SARDINA COMUN,222999.99999999997,766.363,6324.315999999996,1
2024,3,8,SARDINA COMUN,190000,3112.291,51741.52300000001,1
2024,4,8,SARDINA COMUN,190000,498.119,6700.027000000001,1
2024,5,8,SARDINA COMUN,190000,262.32,6134.688999999997,1
2024,6,8,SARDINA COMUN,190000,2.792,410.42199999999985,1
2016,1,10,ANCHOVETA,117678,52,114.417,1
2016,2,10,ANCHOVETA,97867,199,372.381,1
2016,3,10,ANCHOVETA,121408,35,20.742,1
2016,4,10,ANCHOVETA,113888,99,157.86100000000002,1
2014,2,10,SARDINA COMUN,90170,28.03,143.386,1
2014,3,10,SARDINA COMUN,93150,56.55,91.018,1
2014,4,10,SARDINA COMUN,95420,32.6,70.055,1
2014,5,10,SARDINA COMUN,93070,104.74,378.10100000000006,1
2014,7,10,SARDINA COMUN,115460,323.072,118.679,1
2014,8,10,SARDINA COMUN,119060,25.4,36.909000000000006,1
2014,11,10,SARDINA COMUN,120656,1128.15,166.92200000000003,1
2014,12,10,SARDINA COMUN,130250,542.92,188.515,1
2015,11,10,SARDINA COMUN,129699,440.44999999999993,82.595,1
2016,1,10,SARDINA COMUN,117678,151,239.66299999999998,1
2016,2,10,SARDINA COMUN,97867,191,770.9180000000005,1
2016,3,10,SARDINA COMUN,121408,104,75.94200000000001,1
2016,4,10,SARDINA COMUN,113888,173,234.26599999999996,1
2013,2,14,ANCHOVETA,92055,109.821,225.83600000000004,1
2013,3,14,ANCHOVETA,91674,233.349,320.50300000000004,1
2013,4,14,ANCHOVETA,100221,439.697,465.39299999999986,1
2013,5,14,ANCHOVETA,106553,479.302,547.745,1
2013,6,14,ANCHOVETA,121400,950.2229999999998,1015.0880000000002,1
2013,7,14,ANCHOVETA,111689,176.412,180.889,1
2013,10,14,ANCHOVETA,77819,10.699,17.578,1
2013,11,14,ANCHOVETA,84664,323.903,449.05899999999997,1
2013,12,14,ANCHOVETA,84480,588.2120000000001,538.3209999999999,1
2014,2,14,ANCHOVETA,88495,615.568,672.1819999999999,1
2014,3,14,ANCHOVETA,92640,117.158,155.01599999999996,1
2014,4,14,ANCHOVETA,95512,117.833,167.45999999999998,1
2014,5,14,ANCHOVETA,97304,60.785,86.26499999999999,1
2014,6,14,ANCHOVETA,97316,45.599,81.658,1
2014,11,14,ANCHOVETA,119784,43.675,76.83000000000001,1
2015,7,14,ANCHOVETA,119323,2.823,3.733,1
2015,10,14,ANCHOVETA,126881,9.297,14.651000000000002,1
2015,11,14,ANCHOVETA,129496,97.672,81.68599999999999,1
2015,12,14,ANCHOVETA,136479,238.945,254.85899999999995,1
2018,10,14,ANCHOVETA,126346,134.154,136.365,1
2018,11,14,ANCHOVETA,136231,122.45600000000002,122.245,1
2018,12,14,ANCHOVETA,159033,35.739,35.739,1
2019,2,14,ANCHOVETA,116019,9.41,12.495999999999999,1
2019,3,14,ANCHOVETA,140456,129.51,126.485,1
2019,4,14,ANCHOVETA,139136,112.12,112.14099999999999,1
2019,5,14,ANCHOVETA,134852,1034.24,1034.3039999999999,1
2019,6,14,ANCHOVETA,135151,2486.1000000000004,2486.1230000000014,1
2019,7,14,ANCHOVETA,182213,96.69,96.704,1
2019,11,14,ANCHOVETA,155229,1406.4299999999998,1476.1660000000002,1
2019,12,14,ANCHOVETA,149748,849.16,779.624,1
