ANIO,MES,NM_RECURSO,PRECIO_MACRO,Q_MUESTRA_TOTAL,N_REGIONES_PRECIO,N_PLANTAS_TOTAL,CV_PRECIO_REGIONAL,N_OUTLIERS_PRECIO,FECHA,Q_MACRO,Q_INDUSTRIAL_MACRO,Q_ARTESANAL_MACRO,N_REGIONES_DESEMB,N_OUTLIERS_CANTIDAD,SHARE_INDUSTRIAL,SHARE_ARTESANAL
2018,1,JUREL,227164.8603106744,10394.575025,1,2,NA,0,2018-01-01,47397.35699999999,39894.35499999999,7503.002,3,1,0.8416999918370975,0.15830000816290246
2018,2,ANCHOVETA,215570,121.664,1,1,NA,0,2018-02-01,2141.9160000000006,380.427,1761.4890000000007,3,0,0.17761060657840919,0.8223893934215909
2018,2,JUREL,230000,10949.636,1,1,NA,0,2018-02-01,50863.59,49425.35999999999,1438.2299999999998,3,1,0.9717237811959399,0.028276218804060033
2018,2,SARDINA COMUN,215570,1183.001,1,1,NA,0,2018-02-01,15461.511,6917.638,8543.873,5,1,0.4474102175395406,0.5525897824604593
2018,3,ANCHOVETA,119673.57033550709,3017.075,2,3,0.2627353439402972,0,2018-03-01,15468.492000000004,540.303,14928.189000000004,4,1,0.03492926136561986,0.9650707386343802
2018,3,SARDINA COMUN,119833.45484206571,38257.618,2,4,0.20942050110335705,0,2018-03-01,129505.82700000006,1228.394,128277.43300000006,4,2,0.009485241154438552,0.9905147588455614
2018,4,ANCHOVETA,137877.05714966083,2381.064,2,3,0.33992333331206204,0,2018-04-01,11899.626999999997,0,11899.626999999997,4,1,0,1
2018,4,SARDINA COMUN,124884.71955372306,24556.771000000004,2,4,0.24524549260023895,0,2018-04-01,76365.92200000002,0,76365.92200000002,4,1,0,1
2018,5,ANCHOVETA,146284,690.259,1,1,NA,0,2018-05-01,7508.4490000000005,0,7508.4490000000005,4,1,0,1
2018,5,SARDINA COMUN,124089.4792088436,2905.418,1,2,NA,0,2018-05-01,31355.127999999968,0,31355.127999999968,4,1,0,1
2018,6,ANCHOVETA,155509,1422.888,1,1,NA,0,2018-06-01,5597.892,0,5597.892,3,1,0,1
