ANIO,MES,NM_RECURSO,Precio_Real,Q_Mercado,D_Shock,P_Harina,P_Diesel,SST,Viento
2021,4,SARDINA COMUN,187929.05349845177,79752.23500000019,0,1457805.8632686073,761.1326716656458,13.482468413289348,5.136571411701366
2021,5,ANCHOVETA,214146.61791677133,39164.204,0,1543885.6065099689,765.4793292194726,13.23928176338967,5.066639698787734
2021,5,JUREL,304668.38973909355,70915.00200000004,0,1543885.6065099689,765.4793292194726,13.23928176338967,5.066639698787734
2021,5,SARDINA COMUN,191967.7456610505,16722.233000000007,0,1543885.6065099689,765.4793292194726,13.23928176338967,5.066639698787734
2021,6,ANCHOVETA,240018.93431069067,13784.86400000001,0,1534117.18660441,805.296484699985,12.90912731593618,6.156148597197249
2021,6,JUREL,304364.0257133802,65440.95300000001,0,1534117.18660441,805.2964846999851,12.90912731593618,6.156148597197249
2021,6,SARDINA COMUN,224281.6855276732,3721.140000000002,0,1534117.18660441,805.2964846999851,12.90912731593618,6.156148597197249
2021,7,ANCHOVETA,181432.00968957032,3145.8249999999985,0,1535412.6198406022,830.3582050712258,11.975559561053478,6.232109395294386
2021,7,SARDINA COMUN,181432.00968957032,1580.4450000000002,0,1535412.6198406022,830.3582050712258,11.97555956105348,6.232109395294388
2021,11,ANCHOVETA,195850.6969243166,5401.713000000003,0,1690121.6915788085,909.7208883819061,12.727151334386033,7.358231110251994
2021,11,SARDINA COMUN,179358.89495648883,3034.583999999999,0,1690121.6915788085,909.7208883819062,12.727151334386033,7.358231110251995
2021,12,ANCHOVETA,195704.4543237935,81.739,0,1741767.7588529326,934.4501365036524,13.795399070275998,7.4985121401030925
2022,1,JUREL,417310.02053809277,6.183999999999999,0,1692381.7988978294,923.903344629966,15.881201292057671,7.518895956339126
2022,3,ANCHOVETA,191046.11128344183,88592.13299999983,0,1680037.8336057642,1005.3916815321322,13.431542392667595,7.38064280681777
2022,3,SARDINA COMUN,212756.74534130745,94486.032,0,1680037.8336057642,1005.3916815321325,13.431542392667597,7.38064280681777
2022,4,ANCHOVETA,201447.92976426624,58980.243000000075,0,1706759.1210970993,1023.7238719592848,12.078511209656986,6.295019053107576
2022,4,SARDINA COMUN,213444.42647506972,27139.34699999997,0,1706759.1210970993,1023.7238719592848,12.078511209656986,6.295019053107576
2022,5,ANCHOVETA,209172.24382142271,21334.704000000005,0,1726038.1020420243,1043.4162152798542,11.577163921234662,5.465300122690442
2022,5,SARDINA COMUN,225045.452596897,5738.693000000002,0,1726038.1020420243,1043.4162152798542,11.577163921234662,5.465300122690442
2022,6,ANCHOVETA,216732.17886001687,11694.585000000005,0,1722202.905621007,1073.7394723058144,10.96707901735432,6.712750021345034
2022,6,SARDINA COMUN,209978.59835804589,2074.7350000000015,0,1722202.905621007,1073.7394723058144,10.96707901735432,6.712750021345033
2022,7,ANCHOVETA,254136.18665790054,745.4509999999997,0,1922029.6818335296,1106.6936078702893,10.98838510843128,5.386193919409781
2022,7,SARDINA COMUN,257691.82877154002,878.0000000000001,0,1922029.6818335296,1106.6936078702893,10.98838510843128,5.386193919409781
2022,10,ANCHOVETA,220263.83013311692,378.3970000000001,0,1781493.9271850404,1240.0501278386637,12.552797558211324,7.903748527407339
2022,10,SARDINA COMUN,223518.5925975647,5393.874999999999,0,1781493.9271850404,1240.0501278386637,12.552797558211326,7.903748527407339
2022,11,ANCHOVETA,192334.64578995717,20782.02100000001,0,1715531.7036764212,1287.5139884593177,13.517654058867349,5.9330838034791915
