year,month,specie,harvest_LANCHAS_IFOP_centrosur,harvest_BOTES_IFOP_centrosur,harvest_IND_IFOP_norte,harvest_IND_IFOP_centrosur,total_harvest_IFOP_centrosur,total_harvest_IFOP_norte
2015,may,SARDINA COMUN,69301.813,487.91,0,1373.6309999999999,71163.35399999999,0
2015,jun,SARDINA COMUN,10574.036,221.65400000000002,0,2241.71,13037.4,0
2015,jul,SARDINA COMUN,11077.856000000005,81.475,0,1732.915,12892.246000000005,0
2015,ago,SARDINA COMUN,3449.8850000000016,60.105000000000004,0,1167.29,4677.280000000001,0
2015,sept,SARDINA COMUN,24.86,9.09,NA,NA,33.95,NA
2015,oct,SARDINA COMUN,9831.109,26.424,0,24220.097999999994,34077.630999999994,0
2015,nov,SARDINA COMUN,71755.15200000019,932.3219999999998,0,7047.602000000001,79735.07600000019,0
2015,dic,SARDINA COMUN,22842.77299999999,64.17999999999999,0,1019.238,23926.19099999999,0
2016,ene,SARDINA COMUN,239.86899999999997,NA,NA,NA,239.86899999999997,NA
2016,feb,SARDINA COMUN,15739.462000000003,4.260000000000001,0,13750.243,29493.965,0
2016,mar,SARDINA COMUN,24913.84000000001,2092.3070000000002,0,13709.154,40715.301000000014,0
2016,abr,SARDINA COMUN,16304.947000000007,8.91,NA,NA,16313.857000000007,NA
2016,may,SARDINA COMUN,23500.55400000001,9.188999999999998,0,3210.3749999999995,26720.11800000001,0
2016,jun,SARDINA COMUN,14771.658000000001,9.315000000000001,0,18990.001999999997,33770.975,0
2016,jul,SARDINA COMUN,10782.006999999998,6.284999999999999,0,9758.721000000001,20547.013,0
2016,ago,SARDINA COMUN,69.98700000000002,1.4,NA,NA,71.38700000000003,NA
2016,sept,SARDINA COMUN,193.30400000000003,14.774000000000001,NA,NA,208.07800000000003,NA
2016,oct,SARDINA COMUN,11066.491000000005,24.685999999999996,0,17379.022,28470.199000000008,0
2016,nov,SARDINA COMUN,54177.11400000004,146.01,0,5718.536000000001,60041.66000000004,0
2016,dic,SARDINA COMUN,22808.756,26.498,0,2666.308,25501.562,0
2017,ene,SARDINA COMUN,181.202,21.329999999999995,NA,NA,202.53199999999998,NA
2017,feb,SARDINA COMUN,12493.102,17.558,0,8094.899000000001,20605.559000000005,0
2017,mar,SARDINA COMUN,165659.1149999997,3496.878999999997,0,500.524,169656.5179999997,0
2017,abr,SARDINA COMUN,33973.53699999998,291.5709999999999,NA,NA,34265.10799999998,NA
2017,may,SARDINA COMUN,30775.49100000003,126.76899999999998,0,47.353,30949.61300000003,0
2017,jun,SARDINA COMUN,12965.332,49.39,NA,NA,13014.722,NA
2017,jul,SARDINA COMUN,12875.275999999998,51.258,NA,NA,12926.533999999998,NA
2017,ago,SARDINA COMUN,88.89199999999997,4.470000000000001,NA,NA,93.36199999999997,NA
2017,sept,SARDINA COMUN,12.515,12.280000000000001,NA,NA,24.795,NA
2017,oct,SARDINA COMUN,9492.122,8.874,0,11123.770999999999,20624.766999999996,0
2017,nov,SARDINA COMUN,25634.835000000032,179.57500000000002,0,2905.9799999999996,28720.390000000032,0
2017,dic,SARDINA COMUN,13860.432000000008,44.333,NA,NA,13904.765000000009,NA
2018,ene,SARDINA COMUN,1.927,23.148999999999997,NA,NA,25.075999999999997,NA
2018,feb,SARDINA COMUN,8538.801999999998,5.071,0,6917.638,15461.510999999999,0
2018,mar,SARDINA COMUN,126201.78000000007,2075.6530000000007,0,1228.394,129505.82700000008,0
2018,abr,SARDINA COMUN,75404.19600000003,961.726,NA,NA,76365.92200000002,NA
2018,may,SARDINA COMUN,31171.23799999997,183.89,NA,NA,31355.127999999968,NA
2018,jun,SARDINA COMUN,23423.809000000005,238.123,NA,NA,23661.932000000004,NA
2018,jul,SARDINA COMUN,1343.4790000000003,NA,NA,NA,1343.4790000000003,NA
2018,ago,SARDINA COMUN,49.266000000000005,10.735,NA,NA,60.001000000000005,NA
2018,sept,SARDINA COMUN,161.616,0.204,NA,NA,161.82000000000002,NA
2018,oct,SARDINA COMUN,10469.831999999999,0.025,0,1986.486,12456.342999999999,0
2018,nov,SARDINA COMUN,46845.48000000007,338.85100000000006,NA,NA,47184.33100000007,NA
2018,dic,SARDINA COMUN,7763.5300000000025,76.24400000000001,NA,NA,7839.774000000002,NA
2019,ene,SARDINA COMUN,53.120000000000005,15.709999999999999,NA,NA,68.83,NA
2019,feb,SARDINA COMUN,12942.009,20.749,NA,NA,12962.758,NA
2019,mar,SARDINA COMUN,107241.3260000003,1588.7350000000001,NA,NA,108830.0610000003,NA
2019,abr,SARDINA COMUN,65617.31599999996,212.03,NA,NA,65829.34599999996,NA
2019,may,SARDINA COMUN,32242.858000000015,62.863,NA,NA,32305.721000000016,NA
2019,jun,SARDINA COMUN,14043.022000000008,0.34500000000000003,NA,NA,14043.367000000007,NA
2019,jul,SARDINA COMUN,6763.289999999995,0.16,0,900.633,7664.082999999995,0
2019,ago,SARDINA COMUN,10.139999999999999,0.72,NA,NA,10.86,NA
2019,sept,SARDINA COMUN,14.190999999999997,0.05,NA,NA,14.240999999999998,NA
2019,oct,SARDINA COMUN,4.769,0.5,0,462.422,467.69100000000003,0
2019,nov,SARDINA COMUN,45423.72500000001,112.16699999999999,0,2180.071,47715.96300000002,0
2019,dic,SARDINA COMUN,30312.898999999994,53.358,NA,NA,30366.256999999994,NA
2020,ene,SARDINA COMUN,76.393,2.05,NA,NA,78.443,NA
2020,feb,SARDINA COMUN,6170.065,NA,NA,NA,6170.065,NA
2020,mar,SARDINA COMUN,33541.10700000004,1683.8840000000007,NA,NA,35224.99100000004,NA
2020,abr,SARDINA COMUN,103766.2879999999,533.0350000000001,0,5.725,104305.04799999991,0
2020,may,SARDINA COMUN,37195.200999999994,115.24800000000002,0,45.374,37355.823,0
2020,jun,SARDINA COMUN,8700.349999999999,6.259,NA,NA,8706.608999999999,NA
2020,jul,SARDINA COMUN,4300.966,11.155000000000001,NA,NA,4312.121,NA
2020,ago,SARDINA COMUN,330.90399999999994,1.28,NA,NA,332.1839999999999,NA
2020,sept,SARDINA COMUN,24.269,0.342,NA,NA,24.610999999999997,NA
2020,oct,SARDINA COMUN,4725.607,42.764,0,3478.168,8246.538999999999,0
2020,nov,SARDINA COMUN,29009.431000000004,57.64600000000001,0,1163.963,30231.040000000005,0
2020,dic,SARDINA COMUN,24443.320999999993,12.34,0,2843.7300000000005,27299.390999999992,0
2021,ene,SARDINA COMUN,746.326,6.9,NA,NA,753.226,NA
2021,feb,SARDINA COMUN,4134.585999999999,1.1,NA,NA,4135.686,NA
2021,mar,SARDINA COMUN,182087.18499999994,2626.325,NA,NA,184713.50999999995,NA
2021,abr,SARDINA COMUN,95005.21900000019,605.1979999999998,NA,NA,95610.41700000019,NA
2021,may,SARDINA COMUN,20434.883000000005,193.229,NA,NA,20628.112000000005,NA
2021,jun,SARDINA COMUN,5411.575000000003,141.304,NA,NA,5552.879000000003,NA
2021,jul,SARDINA COMUN,1694.1400000000003,25.750000000000004,NA,NA,1719.8900000000003,NA
2021,ago,SARDINA COMUN,3.388,2.2,NA,NA,5.588,NA
2021,sept,SARDINA COMUN,1.103,1.5,NA,NA,2.6029999999999998,NA
2021,oct,SARDINA COMUN,4911.473000000001,4.445,NA,NA,4915.918000000001,NA
2021,nov,SARDINA COMUN,19244.712999999985,4.217,NA,NA,19248.929999999986,NA
2021,dic,SARDINA COMUN,6927.4569999999985,4.5,NA,NA,6931.9569999999985,NA
2022,ene,SARDINA COMUN,13.216999999999999,NA,NA,NA,13.216999999999999,NA
2022,feb,SARDINA COMUN,14666.363,67.102,NA,NA,14733.465,NA
2022,mar,SARDINA COMUN,108814.392,2032.5050000000006,NA,NA,110846.89700000001,NA
2022,abr,SARDINA COMUN,33085.15699999998,50.024,0,27.53,33162.710999999974,0
2022,may,SARDINA COMUN,10211.973000000002,75.721,NA,NA,10287.694000000001,NA
2022,jun,SARDINA COMUN,12403.120000000003,69.75399999999999,NA,NA,12472.874000000003,NA
2022,jul,SARDINA COMUN,1154.968,46.349999999999994,NA,NA,1201.318,NA
2022,ago,SARDINA COMUN,6.861000000000001,17.878,NA,NA,24.739,NA
2022,sept,SARDINA COMUN,0.36300000000000004,NA,NA,NA,0.36300000000000004,NA
2022,oct,SARDINA COMUN,2567.4360000000006,12.000000000000002,0,5393.816999999999,7973.253,0
2022,nov,SARDINA COMUN,18641.899999999987,215.805,0,24.244,18881.948999999986,0
2022,dic,SARDINA COMUN,14316.414,27.789999999999996,NA,NA,14344.204000000002,NA
2023,ene,SARDINA COMUN,54.807,83.1,NA,NA,137.90699999999998,NA
2023,feb,SARDINA COMUN,5668.755999999999,7.535,NA,NA,5676.290999999999,NA
2023,mar,SARDINA COMUN,203662.31299999973,3091.964,NA,NA,206754.27699999974,NA
2023,abr,SARDINA COMUN,101171.90799999997,500.883,NA,NA,101672.79099999997,NA
2023,may,SARDINA COMUN,40902.39499999999,70.444,NA,NA,40972.83899999999,NA
2023,jun,SARDINA COMUN,8302.238,13.058,0,638.999,8954.295,0
2023,jul,SARDINA COMUN,2161.406,4.05,NA,NA,2165.456,NA
2023,ago,SARDINA COMUN,0.225,9.946000000000002,NA,NA,10.171000000000001,NA
2023,sept,SARDINA COMUN,0.17300000000000001,NA,NA,NA,0.17300000000000001,NA
2023,oct,SARDINA COMUN,3730.6599999999994,6.2,0,322.181,4059.0409999999993,0
2023,nov,SARDINA COMUN,26482.095000000023,33.056000000000004,NA,NA,26515.151000000023,NA
2023,dic,SARDINA COMUN,13445.979999999996,9.305,NA,NA,13455.284999999996,NA
2024,ene,SARDINA COMUN,0.048,NA,NA,NA,0.048,NA
2024,feb,SARDINA COMUN,5669.821999999992,5.452,NA,NA,5675.273999999992,NA
2024,mar,SARDINA COMUN,62205.763000000006,1568.1410000000003,NA,NA,63773.90400000001,NA
