ANIO,MES,RG,NM_RECURSO,FECHA,Q_TOTAL,Q_INDUSTRIAL,Q_ARTESANAL,N_FLOTAS_ACTIVAS,N_OUTLIERS,SHARE_INDUSTRIAL,SHARE_ARTESANAL
2013,10,7,SARDINA COMUN,2013-10-01,0.05,0,0.05,1,0,0,1
2013,10,8,ANCHOVETA,2013-10-01,984.5780000000003,179.93200000000002,804.6460000000003,2,0,0.18275037630335023,0.8172496236966498
2013,10,8,SARDINA COMUN,2013-10-01,11439.844999999998,4845.626,6594.218999999997,2,0,0.42357444528313115,0.5764255547168688
2013,10,10,ANCHOVETA,2013-10-01,4.75,0,4.75,1,0,0,1
2013,10,10,SARDINA COMUN,2013-10-01,98.55,0,98.55,1,0,0,1
2013,10,14,ANCHOVETA,2013-10-01,17.578,0,17.578,1,0,0,1
2013,10,14,SARDINA COMUN,2013-10-01,1569.19,871.279,697.911,2,0,0.555241239110624,0.444758760889376
2013,11,5,JUREL,2013-11-01,8.8,0,8.8,1,0,0,1
2013,11,5,SARDINA COMUN,2013-11-01,11.678,0,11.678,1,0,0,1
2013,11,8,ANCHOVETA,2013-11-01,1858.4690000000003,1132.833,725.6360000000002,2,0,0.6095517331739189,0.3904482668260811
2013,11,8,SARDINA COMUN,2013-11-01,30110.675000000007,16524.528000000002,13586.147000000004,2,1,0.5487930111164894,0.45120698888351063
2013,11,9,ANCHOVETA,2013-11-01,0.18,0,0.18,1,0,0,1
2013,11,9,SARDINA COMUN,2013-11-01,1.2,0,1.2,1,0,0,1
2013,11,10,ANCHOVETA,2013-11-01,74.852,0,74.852,1,0,0,1
2013,11,10,SARDINA COMUN,2013-11-01,617.5269999999999,0,617.5269999999999,1,0,0,1
2013,11,14,ANCHOVETA,2013-11-01,449.05899999999997,130.187,318.87199999999996,2,0,0.28991067988838887,0.7100893201116111
2013,11,14,JUREL,2013-11-01,0.028,0,0.028,1,0,0,1
2013,11,14,SARDINA COMUN,2013-11-01,3872.887,1973.7939999999999,1899.0930000000003,2,0,0.5096440975427374,0.49035590245726257
2013,12,5,SARDINA COMUN,2013-12-01,8.76,0,8.76,1,0,0,1
2013,12,8,ANCHOVETA,2013-12-01,2635.533999999999,2635.533999999999,0,1,1,1,0
2013,12,8,JUREL,2013-12-01,7766.394000000002,7766.394000000002,0,1,0,1,0
2013,12,8,SARDINA COMUN,2013-12-01,13986.951000000005,13986.951000000005,0,1,0,1,0
2013,12,10,ANCHOVETA,2013-12-01,435.14599999999996,0,435.14599999999996,1,0,0,1
2013,12,10,JUREL,2013-12-01,232.747,0,232.747,1,0,0,1
2013,12,10,SARDINA COMUN,2013-12-01,456.99600000000004,0,456.99600000000004,1,0,0,1
2013,12,14,ANCHOVETA,2013-12-01,538.3209999999999,191.00099999999995,347.32,2,0,0.3548087479403553,0.6451912520596448
2013,12,14,JUREL,2013-12-01,0.016,0,0.016,1,0,0,1
2013,12,14,SARDINA COMUN,2013-12-01,9975.711999999998,2152.4230000000002,7823.288999999999,2,1,0.21576635331894112,0.784233646681059
2014,1,5,JUREL,2014-01-01,1.2700000000000002,0,1.2700000000000002,1,0,0,1
2014,1,5,SARDINA COMUN,2014-01-01,10.979,0,10.979,1,0,0,1
2014,1,8,JUREL,2014-01-01,31785.55400000002,27374.80700000002,4410.746999999999,2,2,0.8612342260889964,0.13876577391100361
2014,1,10,ANCHOVETA,2014-01-01,2.656,0,2.656,1,0,0,1
2014,1,10,SARDINA COMUN,2014-01-01,32.879000000000005,0,32.879000000000005,1,0,0,1
2014,1,14,SARDINA COMUN,2014-01-01,0.117,0,0.117,1,0,0,1
2014,2,5,JUREL,2014-02-01,2.21,0,2.21,1,0,0,1
2014,2,5,SARDINA COMUN,2014-02-01,1.6600000000000001,0,1.6600000000000001,1,0,0,1
2014,2,8,ANCHOVETA,2014-02-01,3.511,3.486,0.025,2,0,0.9928795215038451,0.007120478496154942
2014,2,8,JUREL,2014-02-01,39393.035000000025,34917.98900000002,4475.045999999999,2,2,0.8864000704693101,0.11359992953068979
2014,2,8,SARDINA COMUN,2014-02-01,88.403,83.224,5.178999999999999,2,0,0.9414160152935986,0.05858398470640135
2014,2,10,ANCHOVETA,2014-02-01,27.281,0,27.281,1,0,0,1
2014,2,10,JUREL,2014-02-01,3.059,0,3.059,1,0,0,1
2014,2,10,SARDINA COMUN,2014-02-01,143.386,0,143.386,1,0,0,1
2014,2,14,ANCHOVETA,2014-02-01,672.1819999999999,0,672.1819999999999,1,0,0,1
2014,2,14,JUREL,2014-02-01,0.015,0,0.015,1,0,0,1
2014,2,14,SARDINA COMUN,2014-02-01,15833.325000000008,0,15833.325000000008,1,1,0,1
2014,3,5,ANCHOVETA,2014-03-01,1410.308,0,1410.308,1,0,0,1
2014,3,5,JUREL,2014-03-01,0.15,0,0.15,1,0,0,1
2014,3,5,SARDINA COMUN,2014-03-01,3297.8100000000004,0,3297.8100000000004,1,0,0,1
2014,3,7,JUREL,2014-03-01,21.29,0,21.29,1,0,0,1
