year,month,P_anchoveta,P_sardina,P_jurel,Q_anchoveta,Q_sardina,Q_jurel,P_harina_FOB_CLP,Tipo_Cambio,Precio_USD,Date
2023,2,192999.99999999997,192999.99999999997,289999.9999999999,1039.8540000000005,5676.290999999999,116416.41099999996,1508507.1106250002,798.2575,1889.75,2023-02-01
2023,3,176499.9999999999,176499.9999999999,289999.9999999999,38083.561,206754.27699999977,95917.841,1542104.9543478256,809.503913043478,1905,2023-03-01
2023,4,180999.99999999985,180999.99999999985,289999.9999999999,47399.75199999994,101672.79099999995,93841.48000000004,1609683.2763157892,803.836842105263,2002.5,2023-04-01
2023,5,188499.99999999997,188499.99999999997,289999.9999999999,43375.229999999945,40972.83899999999,91945.899,1677134.4545454555,798.635454545455,2100,2023-05-01
2023,6,190500.00000000015,190500.00000000015,289999.9999999999,27267.955999999984,8954.295,78424.89100000005,1679732.25,799.8725,2100,2023-06-01
2023,7,230999.99999999988,230999.99999999988,287527.1865449552,6538.208,2165.456,21642.241999999995,1708134.0000000005,813.3971428571431,2100,2023-07-01
2023,8,219677.90117540932,594627.2499999998,288668.1185018717,10.704,10.171,911.177,1865337.80909091,855.6595454545459,2180,2023-08-01
2023,9,224993.162897159,23096.6652854513,289813.5777723475,249.945,0.173,19.58,1989908.289473683,884.403684210526,2250,2023-09-01
2023,10,271000,271000,290963.582321142,2219.705999999999,4059.0409999999993,52.659,1980529.886,926.347,2138,2023-10-01
2023,11,203000.0000000001,246000.0000000001,289999.9999999999,24344.917999999987,26515.151000000023,38856.918000000005,1961634.1071428575,886.6142857142859,2212.5,2023-11-01
2023,12,191500.0000000001,222999.99999999997,293456.04187510995,5020.911999999999,13455.284999999996,68828.97399999997,1836798.1578947364,874.665789473684,2100,2023-12-01
2024,1,284152.0080165987,472632.2836338479,297824.1432406243,96.716,0.048,143748.73200000008,1884980.6345454543,907.986818181818,2076,2024-01-01
2024,2,195585.53066620367,213885.79296192928,295637.8660210009,3378.308999999998,5675.273999999992,124846.62100000009,1965422.457142857,963.4423809523807,2040,2024-02-01
2024,3,190000.00000000012,190000.00000000012,297824.1432406243,37704.742000000006,63773.90400000001,104571.62199999996,1974582.3,967.9325,2040,2024-03-01
2024,4,190000.00000000012,190000.00000000012,297824.1432406243,22415.662999999997,10462.345,122787.6279999999,1838664.6181818184,960.138181818182,1915,2024-04-01
2024,5,190000.00000000012,190000.00000000012,297824.1432406243,37413.006000000016,9202.513999999996,85034.45199999996,1688893.9428571428,917.8771428571428,1840,2024-05-01
2024,6,190000.00000000012,190000.00000000012,297407.7868278709,2877.019,954.9939999999998,31222.401999999987,1720195.5552631582,926.081052631579,1857.5,2024-06-01
2024,7,187123.64060199747,225121.4492597532,297487.04753344844,6774.584999999996,13324.86200000001,68234.03600000004,1706360.8545454547,937.5609090909091,1820,2024-07-01
2024,8,185392.98031957968,594627.2499999998,297566.3293624119,23.629,73.35,40839.33799999999,1618017.714285714,929.895238095238,1740,2024-08-01
2024,9,183678.3264861781,21966.33069899415,297645.6323203908,49.57899999999999,49.934,3977.685,1518991.6888888886,926.2144444444442,1640,2024-09-01
2024,10,181979.53106210488,257198.76913185083,297724.95641301596,2569.7959999999994,2955.3580000000006,8932.036,1391380.2863636368,933.812272727273,1490,2024-10-01
2024,11,180296.4473768521,218834.18748191587,297804.3016459201,5608.3179999999975,14975.000999999998,34756.84799999999,1479261,971.6,1522.5,2024-11-01
2024,12,178628.93011643377,197709.59751964555,297824.1432406243,2286.9910000000004,8168.041000000002,113863.534,1566762.12,982.296,1595,2024-12-01
