ANIO,MES_TXT,RG,TONELADAS,NM_RECURSO,FLOTA,MES,FECHA,Limite_Superior,is_outlier_Q
2013,jul,14,31.387,ANCHOVETA,INDUSTRIAL,7,2013-07-01,2209,FALSE
2013,oct,8,179.93200000000002,ANCHOVETA,INDUSTRIAL,10,2013-10-01,2209,FALSE
2013,nov,8,1132.833,ANCHOVETA,INDUSTRIAL,11,2013-11-01,2209,FALSE
2013,nov,14,130.187,ANCHOVETA,INDUSTRIAL,11,2013-11-01,2209,FALSE
2013,dic,8,2635.533999999999,ANCHOVETA,INDUSTRIAL,12,2013-12-01,2209,TRUE
2013,dic,14,191.00099999999995,ANCHOVETA,INDUSTRIAL,12,2013-12-01,2209,FALSE
2014,feb,8,3.486,ANCHOVETA,INDUSTRIAL,2,2014-02-01,2209,FALSE
2014,mar,8,497.58000000000004,ANCHOVETA,INDUSTRIAL,3,2014-03-01,2209,FALSE
2014,abr,8,208.384,ANCHOVETA,INDUSTRIAL,4,2014-04-01,2209,FALSE
2014,may,8,973.4789999999998,ANCHOVETA,INDUSTRIAL,5,2014-05-01,2209,FALSE
2014,jun,8,241.839,ANCHOVETA,INDUSTRIAL,6,2014-06-01,2209,FALSE
2014,jul,8,1202.9070000000002,ANCHOVETA,INDUSTRIAL,7,2014-07-01,2209,FALSE
2014,jul,14,38.581999999999994,ANCHOVETA,INDUSTRIAL,7,2014-07-01,2209,FALSE
2014,oct,8,87.39399999999999,ANCHOVETA,INDUSTRIAL,10,2014-10-01,2209,FALSE
2014,nov,8,1282.3899999999999,ANCHOVETA,INDUSTRIAL,11,2014-11-01,2209,FALSE
2014,nov,14,34.158,ANCHOVETA,INDUSTRIAL,11,2014-11-01,2209,FALSE
2015,feb,8,5.869,ANCHOVETA,INDUSTRIAL,2,2015-02-01,2209,FALSE
2015,mar,8,1070.6899999999998,ANCHOVETA,INDUSTRIAL,3,2015-03-01,2209,FALSE
2015,mar,14,121.785,ANCHOVETA,INDUSTRIAL,3,2015-03-01,2209,FALSE
2015,abr,8,752.873,ANCHOVETA,INDUSTRIAL,4,2015-04-01,2209,FALSE
2015,abr,14,76.87,ANCHOVETA,INDUSTRIAL,4,2015-04-01,2209,FALSE
2015,may,8,55.5,ANCHOVETA,INDUSTRIAL,5,2015-05-01,2209,FALSE
2015,jun,8,115.73000000000002,ANCHOVETA,INDUSTRIAL,6,2015-06-01,2209,FALSE
2015,jul,8,36.09,ANCHOVETA,INDUSTRIAL,7,2015-07-01,2209,FALSE
2015,ago,8,1.325,ANCHOVETA,INDUSTRIAL,8,2015-08-01,2209,FALSE
